HBO_WO,Brincode,Brin_volgnr,Isatcode,Type_HO,Opl_vorm,Voertaal,Studiejaar,Fixus,Maand,Herkomst,Geslacht,meercode_V,meercode_A,Status,Hogerejaars,Herinschrijving,1cHO_L,1cHO_K,Aantal,etl_ingestion_timestamp,etl_is_deleted
H,22OJ,0,30029,B,1,2,2021,N,9,N,M,2,0,V,N,N,1,1,49,2021-06-07,0
H,27PZ,2,34421,B,1,,2021,N,9,N,M,1,0,I,J,J,6,6,38,2021-06-07,0
W,21PE,0,50645,B,1,1,2021,N,9,N,V,3,0,V,N,N,1,1,46,2021-06-07,0
H,25JX,0,30008,B,1,,2021,N,9,N,V,1,0,I,J,J,6,6,34,2021-06-07,0
W,21PB,0,56607,B,1,1,2021,N,9,N,V,4,1,V,N,N,1,1,26,2021-06-07,0
W,21PB,0,60300,M,1,2,2021,N,9,N,M,1,0,V,N,N,3,5,33,2021-06-07,0
H,01VU,0,34560,B,1,1,2021,N,9,N,V,2,0,V,N,N,1,1,34,2021-06-07,0
H,25DW,0,34397,B,1,,2021,N,9,N,V,1,0,V,J,J,6,6,28,2021-06-07,0
W,21PB,12,50429,B,1,2,2021,N,9,E,V,1,2,A,N,N,1,1,22,2021-06-07,0
H,02NR,0,34411,B,1,2,2021,N,9,N,M,2,0,V,N,N,1,1,22,2021-06-07,0
W,21PF,0,56966,B,1,1,2021,N,9,N,M,1,0,V,N,N,6,6,34,2021-06-07,0
W,21PK,2,56551,B,1,1,2021,N,9,N,V,1,0,V,N,N,1,1,60,2021-06-07,0
W,21PE,0,60409,M,1,2,2021,N,9,E,M,2,0,V,N,N,1,1,25,2021-06-07,0
W,21PC,0,56604,B,1,2,2021,N,9,E,V,1,1,V,N,N,1,1,34,2021-06-07,0
W,21PC,0,60644,M,1,2,2021,N,9,N,M,1,0,V,N,N,3,5,38,2021-06-07,0
W,21PK,0,50897,B,1,1,2021,N,9,N,M,4,0,V,N,N,1,1,45,2021-06-07,0
W,21PF,0,56951,B,1,1,2021,N,9,N,M,1,1,V,N,N,1,1,42,2021-06-07,0
H,30GB,13,34686,B,1,1,2021,N,9,N,V,1,0,I,J,J,6,6,124,2021-06-07,0
H,30GB,4,35195,B,1,1,2021,N,9,N,V,1,0,I,J,J,6,6,26,2021-06-07,0
W,21PN,0,56604,B,1,1,2021,N,9,N,V,2,0,V,N,N,1,1,89,2021-06-07,0
W,21PK,0,59318,B,1,2,2021,N,9,E,V,1,0,I,J,J,6,6,26,2021-06-07,0
W,21PJ,0,56990,B,1,2,2021,N,9,E,V,4,1,V,N,N,1,1,21,2021-06-07,0
W,21PB,0,60734,M,1,2,2021,N,9,E,V,3,1,V,N,N,1,1,21,2021-06-07,0
W,21PE,0,50950,B,1,,2021,N,9,N,M,2,0,V,J,J,6,6,50,2021-06-07,0
H,25BE,0,34402,B,1,,2021,N,9,N,M,1,0,V,J,J,6,6,27,2021-06-07,0
W,21PC,0,50019,B,1,2,2021,N,9,N,M,1,0,I,J,J,6,6,46,2021-06-07,0
W,21PD,0,56604,B,1,1,2021,N,9,N,V,3,1,V,N,N,1,1,29,2021-06-07,0
H,30VP,0,34808,B,2,,2021,N,9,N,V,1,0,I,J,J,6,6,117,2021-06-07,0
H,30GB,0,35517,B,1,1,2021,N,9,N,M,1,0,I,J,J,6,6,27,2021-06-07,0
H,25DW,16,35158,B,2,,2021,N,9,N,V,1,0,V,J,J,6,6,36,2021-06-07,0
H,25DW,0,34549,B,2,,2021,N,9,N,V,1,0,I,J,J,6,6,23,2021-06-07,0
W,21PK,0,59318,B,1,2,2021,N,9,R,M,1,2,A,N,N,1,1,27,2021-06-07,0
H,22OJ,0,39111,B,1,2,2021,N,9,N,V,1,0,V,N,N,1,1,44,2021-06-07,0
H,25DW,0,35197,B,1,1,2021,N,9,N,M,1,0,V,J,N,4,4,26,2021-06-07,0
W,21PD,0,66990,M,1,2,2021,N,9,R,M,0,1,A,N,N,1,1,52,2021-06-07,0
W,21PF,0,56955,B,1,1,2021,N,9,N,V,2,0,V,N,N,1,1,62,2021-06-07,0
W,21PF,0,56956,B,1,2,2021,N,9,R,V,0,1,A,N,N,1,1,101,2021-06-07,0
