Brincode;Studiejaar;Type_HO;Isatcode;Groepeernaam;Faculteit;Herkomst;Hogerejaars;Herinschrijving;Aantal;meercode_V
21PB;2017;B;56604;B Psychologie;SOW;N;N;N;483;1.31
21PB;2017;B;56604;B Psychologie;SOW;E;N;N;101;1.31
21PB;2017;B;56604;B Psychologie;SOW;R;N;N;42;1.31
21PB;2017;B;56551;B Geneeskunde;MED;N;N;N;489;1.31
21PB;2017;B;56551;B Geneeskunde;MED;E;N;N;82;1.31
21PB;2017;B;56551;B Geneeskunde;MED;R;N;N;35;1.31
21PB;2017;B;50300;B Kunstmatige Intelligentie;SOW;N;N;N;378;1.31
21PB;2017;B;50300;B Kunstmatige Intelligentie;SOW;E;N;N;142;1.31
21PB;2017;B;50300;B Kunstmatige Intelligentie;SOW;R;N;N;75;1.31
21PB;2017;B;50645;B Bedrijfskunde;MAN;N;N;N;301;1.31
21PB;2017;B;50645;B Bedrijfskunde;MAN;E;N;N;118;1.31
21PB;2017;B;50645;B Bedrijfskunde;MAN;R;N;N;50;1.31
21PB;2017;B;56990;B Biomedische Wetenschappen;MED;N;N;N;259;1.31
21PB;2017;B;56990;B Biomedische Wetenschappen;MED;E;N;N;44;1.31
21PB;2017;B;56990;B Biomedische Wetenschappen;MED;R;N;N;18;1.31
21PB;2017;B;56615;B Communicatiewetenschap;SOW;N;N;N;224;1.31
21PB;2017;B;56615;B Communicatiewetenschap;SOW;E;N;N;33;1.31
21PB;2017;B;56615;B Communicatiewetenschap;SOW;R;N;N;12;1.31
21PB;2017;B;56981;B Politicologie;MAN;N;N;N;202;1.31
21PB;2017;B;56981;B Politicologie;MAN;E;N;N;55;1.31
21PB;2017;B;56981;B Politicologie;MAN;R;N;N;21;1.31
21PB;2017;B;56034;B Geschiedenis;FdL;N;N;N;169;1.31
21PB;2017;B;56034;B Geschiedenis;FdL;E;N;N;27;1.31
21PB;2017;B;56034;B Geschiedenis;FdL;R;N;N;11;1.31
21PB;2017;B;56980;B Wiskunde;FNWI;N;N;N;137;1.31
21PB;2017;B;56980;B Wiskunde;FNWI;E;N;N;48;1.31
21PB;2017;B;56980;B Wiskunde;FNWI;R;N;N;22;1.31
21PB;2017;B;56984;B Natuurkunde;FNWI;N;N;N;121;1.31
21PB;2017;B;56984;B Natuurkunde;FNWI;E;N;N;44;1.31
21PB;2017;B;56984;B Natuurkunde;FNWI;R;N;N;24;1.31
21PB;2017;B;56857;B Scheikunde;FNWI;N;N;N;79;1.31
21PB;2017;B;56857;B Scheikunde;FNWI;E;N;N;24;1.31
21PB;2017;B;56857;B Scheikunde;FNWI;R;N;N;12;1.31
21PB;2017;B;56081;B Filosofie;FdL;N;N;N;73;1.31
21PB;2017;B;56081;B Filosofie;FdL;E;N;N;20;1.31
21PB;2017;B;56081;B Filosofie;FdL;R;N;N;9;1.31
21PB;2017;M;60139;M Rechtsgeleerdheid;JUR;N;N;N;173;1.08
21PB;2017;M;60139;M Rechtsgeleerdheid;JUR;E;N;N;35;1.08
21PB;2017;M;60139;M Rechtsgeleerdheid;JUR;R;N;N;18;1.08
21PB;2017;M;60720;M Cognitive Neuroscience;SOW;N;N;N;118;1.08
21PB;2017;M;60720;M Cognitive Neuroscience;SOW;E;N;N;65;1.08
21PB;2017;M;60720;M Cognitive Neuroscience;SOW;R;N;N;37;1.08
21PB;2017;M;60300;M Informatica;SOW;N;N;N;90;1.08
21PB;2017;M;60300;M Informatica;SOW;E;N;N;63;1.08
21PB;2017;M;60300;M Informatica;SOW;R;N;N;33;1.08
21PB;2017;M;60710;M Molecular Mechanisms of Disease;FNWI;N;N;N;62;1.08
21PB;2017;M;60710;M Molecular Mechanisms of Disease;FNWI;E;N;N;42;1.08
21PB;2017;M;60710;M Molecular Mechanisms of Disease;FNWI;R;N;N;27;1.08
21PB;2017;M;60450;M Bestuurskunde;MAN;N;N;N;72;1.08
21PB;2017;M;60450;M Bestuurskunde;MAN;E;N;N;28;1.08
21PB;2017;M;60450;M Bestuurskunde;MAN;R;N;N;13;1.08
21PB;2017;M;60815;M Linguistiek;FdL;N;N;N;48;1.08
21PB;2017;M;60815;M Linguistiek;FdL;E;N;N;33;1.08
21PB;2017;M;60815;M Linguistiek;FdL;R;N;N;16;1.08
