HBO_WO,Brincode,Brin_volgnr,Isatcode,Type_HO,Opl_vorm,Voertaal,Studiejaar,Fixus,Maand,Herkomst,Geslacht,meercode_V,meercode_A,Status,Hogerejaars,Herinschrijving,1cHO_L,1cHO_K,Aantal,etl_ingestion_timestamp,etl_is_deleted
W,21PK,2,56551,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,25,2020-01-13,0
H,30GB,13,34686,B,1,1,2020,N,9,N,V,1,0,I,J,J,6,6,47,2020-01-13,0
W,21PN,0,56604,B,1,1,2020,N,9,N,V,2,0,V,N,N,1,1,32,2020-01-13,0
H,30VP,0,34808,B,2,,2020,N,9,N,V,1,0,I,J,J,6,6,42,2020-01-13,0
W,21PF,0,56955,B,1,1,2020,N,9,N,V,2,0,V,N,N,1,1,22,2020-01-13,0
W,21PF,0,56956,B,1,2,2020,N,9,R,V,0,1,A,N,N,1,1,31,2020-01-13,0
H,00MF,0,39111,B,1,1,2020,N,9,N,M,1,1,A,N,N,1,1,34,2020-01-13,0
H,25BE,0,34402,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,31,2020-01-13,0
H,25JX,13,39111,B,1,,2020,N,9,N,V,1,0,I,J,J,6,6,26,2020-01-13,0
H,21RI,0,34507,B,1,1,2020,N,9,N,V,1,2,A,N,N,1,1,21,2020-01-13,0
H,30GB,0,34609,B,1,1,2020,N,9,N,V,1,0,I,J,J,6,6,23,2020-01-13,0
W,21PD,0,56838,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,32,2020-01-13,0
H,22OJ,0,34116,B,1,,2020,N,9,N,V,1,0,V,J,J,6,6,26,2020-01-13,0
W,21PK,0,59318,B,1,,2020,N,9,R,V,1,0,V,J,J,6,6,21,2020-01-13,0
W,21PM,0,50700,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,30,2020-01-13,0
W,21PE,0,56551,B,1,,2020,N,9,N,V,1,0,V,J,J,6,6,55,2020-01-13,0
H,28DN,0,34402,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,40,2020-01-13,0
H,22OJ,0,34479,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,34,2020-01-13,0
H,25BE,0,34507,B,1,1,2020,N,9,N,V,2,0,V,N,N,1,1,24,2020-01-13,0
H,25BE,0,34507,B,1,1,2020,N,9,N,V,1,1,A,N,N,1,1,36,2020-01-13,0
H,25BE,0,34576,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,23,2020-01-13,0
