Brincode;Studiejaar;Type_HO;Isatcode;Groepeernaam;Faculteit;Herkomst;Hogerejaars;Herinschrijving;Aantal;meercode_V
21PB;2016;B;56604;B Psychologie;SOW;N;N;N;471;1.29
21PB;2016;B;56604;B Psychologie;SOW;E;N;N;90;1.29
21PB;2016;B;56604;B Psychologie;SOW;R;N;N;38;1.29
21PB;2016;B;56551;B Geneeskunde;MED;N;N;N;399;1.29
21PB;2016;B;56551;B Geneeskunde;MED;E;N;N;72;1.29
21PB;2016;B;56551;B Geneeskunde;MED;R;N;N;30;1.29
21PB;2016;B;50300;B Kunstmatige Intelligentie;SOW;N;N;N;294;1.29
21PB;2016;B;50300;B Kunstmatige Intelligentie;SOW;E;N;N;134;1.29
21PB;2016;B;50300;B Kunstmatige Intelligentie;SOW;R;N;N;67;1.29
21PB;2016;B;50645;B Bedrijfskunde;MAN;N;N;N;297;1.29
21PB;2016;B;50645;B Bedrijfskunde;MAN;E;N;N;111;1.29
21PB;2016;B;50645;B Bedrijfskunde;MAN;R;N;N;41;1.29
21PB;2016;B;56990;B Biomedische Wetenschappen;MED;N;N;N;269;1.29
21PB;2016;B;56990;B Biomedische Wetenschappen;MED;E;N;N;34;1.29
21PB;2016;B;56990;B Biomedische Wetenschappen;MED;R;N;N;14;1.29
21PB;2016;B;56615;B Communicatiewetenschap;SOW;N;N;N;222;1.29
21PB;2016;B;56615;B Communicatiewetenschap;SOW;E;N;N;37;1.29
21PB;2016;B;56615;B Communicatiewetenschap;SOW;R;N;N;13;1.29
21PB;2016;B;56981;B Politicologie;MAN;N;N;N;204;1.29
21PB;2016;B;56981;B Politicologie;MAN;E;N;N;49;1.29
21PB;2016;B;56981;B Politicologie;MAN;R;N;N;19;1.29
21PB;2016;B;56034;B Geschiedenis;FdL;N;N;N;156;1.29
21PB;2016;B;56034;B Geschiedenis;FdL;E;N;N;26;1.29
21PB;2016;B;56034;B Geschiedenis;FdL;R;N;N;8;1.29
21PB;2016;B;56980;B Wiskunde;FNWI;N;N;N;116;1.29
21PB;2016;B;56980;B Wiskunde;FNWI;E;N;N;42;1.29
21PB;2016;B;56980;B Wiskunde;FNWI;R;N;N;19;1.29
21PB;2016;B;56984;B Natuurkunde;FNWI;N;N;N;98;1.29
21PB;2016;B;56984;B Natuurkunde;FNWI;E;N;N;38;1.29
21PB;2016;B;56984;B Natuurkunde;FNWI;R;N;N;22;1.29
21PB;2016;B;56857;B Scheikunde;FNWI;N;N;N;82;1.29
21PB;2016;B;56857;B Scheikunde;FNWI;E;N;N;23;1.29
21PB;2016;B;56857;B Scheikunde;FNWI;R;N;N;11;1.29
21PB;2016;B;56081;B Filosofie;FdL;N;N;N;71;1.29
21PB;2016;B;56081;B Filosofie;FdL;E;N;N;17;1.29
21PB;2016;B;56081;B Filosofie;FdL;R;N;N;8;1.29
21PB;2016;M;60139;M Rechtsgeleerdheid;JUR;N;N;N;154;1.1
21PB;2016;M;60139;M Rechtsgeleerdheid;JUR;E;N;N;36;1.1
21PB;2016;M;60139;M Rechtsgeleerdheid;JUR;R;N;N;15;1.1
21PB;2016;M;60720;M Cognitive Neuroscience;SOW;N;N;N;90;1.1
21PB;2016;M;60720;M Cognitive Neuroscience;SOW;E;N;N;65;1.1
21PB;2016;M;60720;M Cognitive Neuroscience;SOW;R;N;N;38;1.1
21PB;2016;M;60300;M Informatica;SOW;N;N;N;81;1.1
21PB;2016;M;60300;M Informatica;SOW;E;N;N;52;1.1
21PB;2016;M;60300;M Informatica;SOW;R;N;N;29;1.1
21PB;2016;M;60710;M Molecular Mechanisms of Disease;FNWI;N;N;N;53;1.1
21PB;2016;M;60710;M Molecular Mechanisms of Disease;FNWI;E;N;N;40;1.1
21PB;2016;M;60710;M Molecular Mechanisms of Disease;FNWI;R;N;N;24;1.1
21PB;2016;M;60450;M Bestuurskunde;MAN;N;N;N;67;1.1
21PB;2016;M;60450;M Bestuurskunde;MAN;E;N;N;23;1.1
21PB;2016;M;60450;M Bestuurskunde;MAN;R;N;N;13;1.1
21PB;2016;M;60815;M Linguistiek;FdL;N;N;N;40;1.1
21PB;2016;M;60815;M Linguistiek;FdL;E;N;N;27;1.1
21PB;2016;M;60815;M Linguistiek;FdL;R;N;N;15;1.1
