Brincode;Studiejaar;Type_HO;Isatcode;Groepeernaam;Faculteit;Herkomst;Hogerejaars;Herinschrijving;Aantal;meercode_V
21PB;2020;B;56604;B Psychologie;SOW;N;N;N;414;1.35
21PB;2020;B;56604;B Psychologie;SOW;E;N;N;73;1.35
21PB;2020;B;56604;B Psychologie;SOW;R;N;N;38;1.35
21PB;2020;B;56551;B Geneeskunde;MED;N;N;N;406;1.35
21PB;2020;B;56551;B Geneeskunde;MED;E;N;N;63;1.35
21PB;2020;B;56551;B Geneeskunde;MED;R;N;N;25;1.35
21PB;2020;B;50300;B Kunstmatige Intelligentie;SOW;N;N;N;288;1.35
21PB;2020;B;50300;B Kunstmatige Intelligentie;SOW;E;N;N;115;1.35
21PB;2020;B;50300;B Kunstmatige Intelligentie;SOW;R;N;N;52;1.35
21PB;2020;B;50645;B Bedrijfskunde;MAN;N;N;N;249;1.35
21PB;2020;B;50645;B Bedrijfskunde;MAN;E;N;N;94;1.35
21PB;2020;B;50645;B Bedrijfskunde;MAN;R;N;N;39;1.35
21PB;2020;B;56990;B Biomedische Wetenschappen;MED;N;N;N;226;1.35
21PB;2020;B;56990;B Biomedische Wetenschappen;MED;E;N;N;34;1.35
21PB;2020;B;56990;B Biomedische Wetenschappen;MED;R;N;N;14;1.35
21PB;2020;B;56615;B Communicatiewetenschap;SOW;N;N;N;179;1.35
21PB;2020;B;56615;B Communicatiewetenschap;SOW;E;N;N;29;1.35
21PB;2020;B;56615;B Communicatiewetenschap;SOW;R;N;N;10;1.35
21PB;2020;B;56981;B Politicologie;MAN;N;N;N;177;1.35
21PB;2020;B;56981;B Politicologie;MAN;E;N;N;47;1.35
21PB;2020;B;56981;B Politicologie;MAN;R;N;N;17;1.35
21PB;2020;B;56034;B Geschiedenis;FdL;N;N;N;142;1.35
21PB;2020;B;56034;B Geschiedenis;FdL;E;N;N;23;1.35
21PB;2020;B;56034;B Geschiedenis;FdL;R;N;N;7;1.35
21PB;2020;B;56980;B Wiskunde;FNWI;N;N;N;110;1.35
21PB;2020;B;56980;B Wiskunde;FNWI;E;N;N;38;1.35
21PB;2020;B;56980;B Wiskunde;FNWI;R;N;N;14;1.35
21PB;2020;B;56984;B Natuurkunde;FNWI;N;N;N;103;1.35
21PB;2020;B;56984;B Natuurkunde;FNWI;E;N;N;32;1.35
21PB;2020;B;56984;B Natuurkunde;FNWI;R;N;N;19;1.35
21PB;2020;B;56857;B Scheikunde;FNWI;N;N;N;69;1.35
21PB;2020;B;56857;B Scheikunde;FNWI;E;N;N;20;1.35
21PB;2020;B;56857;B Scheikunde;FNWI;R;N;N;10;1.35
21PB;2020;B;56081;B Filosofie;FdL;N;N;N;62;1.35
21PB;2020;B;56081;B Filosofie;FdL;E;N;N;17;1.35
21PB;2020;B;56081;B Filosofie;FdL;R;N;N;6;1.35
21PB;2020;M;60139;M Rechtsgeleerdheid;JUR;N;N;N;145;1.11
21PB;2020;M;60139;M Rechtsgeleerdheid;JUR;E;N;N;29;1.11
21PB;2020;M;60139;M Rechtsgeleerdheid;JUR;R;N;N;15;1.11
21PB;2020;M;60720;M Cognitive Neuroscience;SOW;N;N;N;96;1.11
21PB;2020;M;60720;M Cognitive Neuroscience;SOW;E;N;N;58;1.11
21PB;2020;M;60720;M Cognitive Neuroscience;SOW;R;N;N;36;1.11
21PB;2020;M;60300;M Informatica;SOW;N;N;N;82;1.11
21PB;2020;M;60300;M Informatica;SOW;E;N;N;51;1.11
21PB;2020;M;60300;M Informatica;SOW;R;N;N;29;1.11
21PB;2020;M;60710;M Molecular Mechanisms of Disease;FNWI;N;N;N;54;1.11
21PB;2020;M;60710;M Molecular Mechanisms of Disease;FNWI;E;N;N;38;1.11
21PB;2020;M;60710;M Molecular Mechanisms of Disease;FNWI;R;N;N;23;1.11
21PB;2020;M;60450;M Bestuurskunde;MAN;N;N;N;67;1.11
21PB;2020;M;60450;M Bestuurskunde;MAN;E;N;N;22;1.11
21PB;2020;M;60450;M Bestuurskunde;MAN;R;N;N;12;1.11
21PB;2020;M;60815;M Linguistiek;FdL;N;N;N;42;1.11
21PB;2020;M;60815;M Linguistiek;FdL;E;N;N;28;1.11
21PB;2020;M;60815;M Linguistiek;FdL;R;N;N;15;1.11
