Brincode;Studiejaar;Type_HO;Isatcode;Groepeernaam;Faculteit;Herkomst;Hogerejaars;Herinschrijving;Aantal;meercode_V
21PB;2019;B;56604;B Psychologie;SOW;N;N;N;548;1.33
21PB;2019;B;56604;B Psychologie;SOW;E;N;N;101;1.33
21PB;2019;B;56604;B Psychologie;SOW;R;N;N;51;1.33
21PB;2019;B;56551;B Geneeskunde;MED;N;N;N;483;1.33
21PB;2019;B;56551;B Geneeskunde;MED;E;N;N;81;1.33
21PB;2019;B;56551;B Geneeskunde;MED;R;N;N;36;1.33
21PB;2019;B;50300;B Kunstmatige Intelligentie;SOW;N;N;N;402;1.33
21PB;2019;B;50300;B Kunstmatige Intelligentie;SOW;E;N;N;151;1.33
21PB;2019;B;50300;B Kunstmatige Intelligentie;SOW;R;N;N;84;1.33
21PB;2019;B;50645;B Bedrijfskunde;MAN;N;N;N;322;1.33
21PB;2019;B;50645;B Bedrijfskunde;MAN;E;N;N;127;1.33
21PB;2019;B;50645;B Bedrijfskunde;MAN;R;N;N;49;1.33
21PB;2019;B;56990;B Biomedische Wetenschappen;MED;N;N;N;259;1.33
21PB;2019;B;56990;B Biomedische Wetenschappen;MED;E;N;N;38;1.33
21PB;2019;B;56990;B Biomedische Wetenschappen;MED;R;N;N;18;1.33
21PB;2019;B;56615;B Communicatiewetenschap;SOW;N;N;N;238;1.33
21PB;2019;B;56615;B Communicatiewetenschap;SOW;E;N;N;37;1.33
21PB;2019;B;56615;B Communicatiewetenschap;SOW;R;N;N;13;1.33
21PB;2019;B;56981;B Politicologie;MAN;N;N;N;211;1.33
21PB;2019;B;56981;B Politicologie;MAN;E;N;N;60;1.33
21PB;2019;B;56981;B Politicologie;MAN;R;N;N;21;1.33
21PB;2019;B;56034;B Geschiedenis;FdL;N;N;N;175;1.33
21PB;2019;B;56034;B Geschiedenis;FdL;E;N;N;30;1.33
21PB;2019;B;56034;B Geschiedenis;FdL;R;N;N;10;1.33
21PB;2019;B;56980;B Wiskunde;FNWI;N;N;N;136;1.33
21PB;2019;B;56980;B Wiskunde;FNWI;E;N;N;47;1.33
21PB;2019;B;56980;B Wiskunde;FNWI;R;N;N;20;1.33
21PB;2019;B;56984;B Natuurkunde;FNWI;N;N;N;121;1.33
21PB;2019;B;56984;B Natuurkunde;FNWI;E;N;N;43;1.33
21PB;2019;B;56984;B Natuurkunde;FNWI;R;N;N;25;1.33
21PB;2019;B;56857;B Scheikunde;FNWI;N;N;N;91;1.33
21PB;2019;B;56857;B Scheikunde;FNWI;E;N;N;26;1.33
21PB;2019;B;56857;B Scheikunde;FNWI;R;N;N;13;1.33
21PB;2019;B;56081;B Filosofie;FdL;N;N;N;83;1.33
21PB;2019;B;56081;B Filosofie;FdL;E;N;N;21;1.33
21PB;2019;B;56081;B Filosofie;FdL;R;N;N;10;1.33
21PB;2019;M;60139;M Rechtsgeleerdheid;JUR;N;N;N;158;1.09
21PB;2019;M;60139;M Rechtsgeleerdheid;JUR;E;N;N;35;1.09
21PB;2019;M;60139;M Rechtsgeleerdheid;JUR;R;N;N;18;1.09
21PB;2019;M;60720;M Cognitive Neuroscience;SOW;N;N;N;105;1.09
21PB;2019;M;60720;M Cognitive Neuroscience;SOW;E;N;N;74;1.09
21PB;2019;M;60720;M Cognitive Neuroscience;SOW;R;N;N;40;1.09
21PB;2019;M;60300;M Informatica;SOW;N;N;N;91;1.09
21PB;2019;M;60300;M Informatica;SOW;E;N;N;64;1.09
21PB;2019;M;60300;M Informatica;SOW;R;N;N;32;1.09
21PB;2019;M;60710;M Molecular Mechanisms of Disease;FNWI;N;N;N;66;1.09
21PB;2019;M;60710;M Molecular Mechanisms of Disease;FNWI;E;N;N;45;1.09
21PB;2019;M;60710;M Molecular Mechanisms of Disease;FNWI;R;N;N;28;1.09
21PB;2019;M;60450;M Bestuurskunde;MAN;N;N;N;79;1.09
21PB;2019;M;60450;M Bestuurskunde;MAN;E;N;N;27;1.09
21PB;2019;M;60450;M Bestuurskunde;MAN;R;N;N;14;1.09
21PB;2019;M;60815;M Linguistiek;FdL;N;N;N;47;1.09
21PB;2019;M;60815;M Linguistiek;FdL;E;N;N;31;1.09
21PB;2019;M;60815;M Linguistiek;FdL;R;N;N;17;1.09
