Brincode;Studiejaar;Type_HO;Isatcode;Groepeernaam;Faculteit;Herkomst;Hogerejaars;Herinschrijving;Aantal;meercode_V
21PB;2021;B;56604;B Psychologie;SOW;N;N;N;621;1.3
21PB;2021;B;56604;B Psychologie;SOW;E;N;N;113;1.3
21PB;2021;B;56604;B Psychologie;SOW;R;N;N;45;1.3
21PB;2021;B;56551;B Geneeskunde;MED;N;N;N;504;1.3
21PB;2021;B;56551;B Geneeskunde;MED;E;N;N;85;1.3
21PB;2021;B;56551;B Geneeskunde;MED;R;N;N;34;1.3
21PB;2021;B;50300;B Kunstmatige Intelligentie;SOW;N;N;N;415;1.3
21PB;2021;B;50300;B Kunstmatige Intelligentie;SOW;E;N;N;159;1.3
21PB;2021;B;50300;B Kunstmatige Intelligentie;SOW;R;N;N;90;1.3
21PB;2021;B;50645;B Bedrijfskunde;MAN;N;N;N;327;1.3
21PB;2021;B;50645;B Bedrijfskunde;MAN;E;N;N;131;1.3
21PB;2021;B;50645;B Bedrijfskunde;MAN;R;N;N;54;1.3
21PB;2021;B;56990;B Biomedische Wetenschappen;MED;N;N;N;276;1.3
21PB;2021;B;56990;B Biomedische Wetenschappen;MED;E;N;N;45;1.3
21PB;2021;B;56990;B Biomedische Wetenschappen;MED;R;N;N;18;1.3
21PB;2021;B;56615;B Communicatiewetenschap;SOW;N;N;N;242;1.3
21PB;2021;B;56615;B Communicatiewetenschap;SOW;E;N;N;39;1.3
21PB;2021;B;56615;B Communicatiewetenschap;SOW;R;N;N;14;1.3
21PB;2021;B;56981;B Politicologie;MAN;N;N;N;209;1.3
21PB;2021;B;56981;B Politicologie;MAN;E;N;N;58;1.3
21PB;2021;B;56981;B Politicologie;MAN;R;N;N;23;1.3
21PB;2021;B;56034;B Geschiedenis;FdL;N;N;N;197;1.3
21PB;2021;B;56034;B Geschiedenis;FdL;E;N;N;32;1.3
21PB;2021;B;56034;B Geschiedenis;FdL;R;N;N;11;1.3
21PB;2021;B;56980;B Wiskunde;FNWI;N;N;N;137;1.3
21PB;2021;B;56980;B Wiskunde;FNWI;E;N;N;47;1.3
21PB;2021;B;56980;B Wiskunde;FNWI;R;N;N;23;1.3
21PB;2021;B;56984;B Natuurkunde;FNWI;N;N;N;123;1.3
21PB;2021;B;56984;B Natuurkunde;FNWI;E;N;N;46;1.3
21PB;2021;B;56984;B Natuurkunde;FNWI;R;N;N;25;1.3
21PB;2021;B;56857;B Scheikunde;FNWI;N;N;N;96;1.3
21PB;2021;B;56857;B Scheikunde;FNWI;E;N;N;27;1.3
21PB;2021;B;56857;B Scheikunde;FNWI;R;N;N;14;1.3
21PB;2021;B;56081;B Filosofie;FdL;N;N;N;89;1.3
21PB;2021;B;56081;B Filosofie;FdL;E;N;N;23;1.3
21PB;2021;B;56081;B Filosofie;FdL;R;N;N;9;1.3
21PB;2021;M;60139;M Rechtsgeleerdheid;JUR;N;N;N;156;1.07
21PB;2021;M;60139;M Rechtsgeleerdheid;JUR;E;N;N;39;1.07
21PB;2021;M;60139;M Rechtsgeleerdheid;JUR;R;N;N;20;1.07
21PB;2021;M;60720;M Cognitive Neuroscience;SOW;N;N;N;113;1.07
21PB;2021;M;60720;M Cognitive Neuroscience;SOW;E;N;N;80;1.07
21PB;2021;M;60720;M Cognitive Neuroscience;SOW;R;N;N;41;1.07
21PB;2021;M;60300;M Informatica;SOW;N;N;N;95;1.07
21PB;2021;M;60300;M Informatica;SOW;E;N;N;62;1.07
21PB;2021;M;60300;M Informatica;SOW;R;N;N;33;1.07
21PB;2021;M;60710;M Molecular Mechanisms of Disease;FNWI;N;N;N;62;1.07
21PB;2021;M;60710;M Molecular Mechanisms of Disease;FNWI;E;N;N;48;1.07
21PB;2021;M;60710;M Molecular Mechanisms of Disease;FNWI;R;N;N;31;1.07
21PB;2021;M;60450;M Bestuurskunde;MAN;N;N;N;86;1.07
21PB;2021;M;60450;M Bestuurskunde;MAN;E;N;N;27;1.07
21PB;2021;M;60450;M Bestuurskunde;MAN;R;N;N;15;1.07
21PB;2021;M;60815;M Linguistiek;FdL;N;N;N;55;1.07
21PB;2021;M;60815;M Linguistiek;FdL;E;N;N;36;1.07
21PB;2021;M;60815;M Linguistiek;FdL;R;N;N;17;1.07
