Brincode;Studiejaar;Type_HO;Isatcode;Groepeernaam;Faculteit;Herkomst;Hogerejaars;Herinschrijving;Aantal;meercode_V
21PB;2016;B;56604;B Psychologie;SOW;N;N;N;490;1.29
21PB;2016;B;56604;B Psychologie;SOW;E;N;N;94;1.29
21PB;2016;B;56604;B Psychologie;SOW;R;N;N;40;1.29
21PB;2016;B;56551;B Geneeskunde;MED;N;N;N;416;1.29
21PB;2016;B;56551;B Geneeskunde;MED;E;N;N;74;1.29
21PB;2016;B;56551;B Geneeskunde;MED;R;N;N;32;1.29
21PB;2016;B;50300;B Kunstmatige Intelligentie;SOW;N;N;N;301;1.29
21PB;2016;B;50300;B Kunstmatige Intelligentie;SOW;E;N;N;140;1.29
21PB;2016;B;50300;B Kunstmatige Intelligentie;SOW;R;N;N;70;1.29
21PB;2016;B;50645;B Bedrijfskunde;MAN;N;N;N;305;1.29
21PB;2016;B;50645;B Bedrijfskunde;MAN;E;N;N;115;1.29
21PB;2016;B;50645;B Bedrijfskunde;MAN;R;N;N;43;1.29
21PB;2016;B;56990;B Biomedische Wetenschappen;MED;N;N;N;272;1.29
21PB;2016;B;56990;B Biomedische Wetenschappen;MED;E;N;N;35;1.29
21PB;2016;B;56990;B Biomedische Wetenschappen;MED;R;N;N;15;1.29
21PB;2016;B;56615;B Communicatiewetenschap;SOW;N;N;N;231;1.29
21PB;2016;B;56615;B Communicatiewetenschap;SOW;E;N;N;38;1.29
21PB;2016;B;56615;B Communicatiewetenschap;SOW;R;N;N;13;1.29
21PB;2016;B;56981;B Politicologie;MAN;N;N;N;213;1.29
21PB;2016;B;56981;B Politicologie;MAN;E;N;N;51;1.29
21PB;2016;B;56981;B Politicologie;MAN;R;N;N;20;1.29
21PB;2016;B;56034;B Geschiedenis;FdL;N;N;N;164;1.29
21PB;2016;B;56034;B Geschiedenis;FdL;E;N;N;27;1.29
21PB;2016;B;56034;B Geschiedenis;FdL;R;N;N;8;1.29
21PB;2016;B;56980;B Wiskunde;FNWI;N;N;N;121;1.29
21PB;2016;B;56980;B Wiskunde;FNWI;E;N;N;43;1.29
21PB;2016;B;56980;B Wiskunde;FNWI;R;N;N;19;1.29
21PB;2016;B;56984;B Natuurkunde;FNWI;N;N;N;103;1.29
21PB;2016;B;56984;B Natuurkunde;FNWI;E;N;N;39;1.29
21PB;2016;B;56984;B Natuurkunde;FNWI;R;N;N;23;1.29
21PB;2016;B;56857;B Scheikunde;FNWI;N;N;N;85;1.29
21PB;2016;B;56857;B Scheikunde;FNWI;E;N;N;24;1.29
21PB;2016;B;56857;B Scheikunde;FNWI;R;N;N;12;1.29
21PB;2016;B;56081;B Filosofie;FdL;N;N;N;73;1.29
21PB;2016;B;56081;B Filosofie;FdL;E;N;N;17;1.29
21PB;2016;B;56081;B Filosofie;FdL;R;N;N;8;1.29
21PB;2016;M;60139;M Rechtsgeleerdheid;JUR;N;N;N;156;1.1
21PB;2016;M;60139;M Rechtsgeleerdheid;JUR;E;N;N;36;1.1
21PB;2016;M;60139;M Rechtsgeleerdheid;JUR;R;N;N;16;1.1
21PB;2016;M;60720;M Cognitive Neuroscience;SOW;N;N;N;93;1.1
21PB;2016;M;60720;M Cognitive Neuroscience;SOW;E;N;N;67;1.1
21PB;2016;M;60720;M Cognitive Neuroscience;SOW;R;N;N;39;1.1
21PB;2016;M;60300;M Informatica;SOW;N;N;N;83;1.1
21PB;2016;M;60300;M Informatica;SOW;E;N;N;53;1.1
21PB;2016;M;60300;M Informatica;SOW;R;N;N;29;1.1
21PB;2016;M;60710;M Molecular Mechanisms of Disease;FNWI;N;N;N;54;1.1
21PB;2016;M;60710;M Molecular Mechanisms of Disease;FNWI;E;N;N;41;1.1
21PB;2016;M;60710;M Molecular Mechanisms of Disease;FNWI;R;N;N;25;1.1
21PB;2016;M;60450;M Bestuurskunde;MAN;N;N;N;68;1.1
21PB;2016;M;60450;M Bestuurskunde;MAN;E;N;N;24;1.1
21PB;2016;M;60450;M Bestuurskunde;MAN;R;N;N;13;1.1
21PB;2016;M;60815;M Linguistiek;FdL;N;N;N;41;1.1
21PB;2016;M;60815;M Linguistiek;FdL;E;N;N;28;1.1
21PB;2016;M;60815;M Linguistiek;FdL;R;N;N;15;1.1
