Brincode;Studiejaar;Type_HO;Isatcode;Groepeernaam;Faculteit;Herkomst;Hogerejaars;Herinschrijving;Aantal;meercode_V
21PB;2024;B;56604;B Psychologie;SOW;N;N;N;600;1.34
21PB;2024;B;56604;B Psychologie;SOW;E;N;N;120;1.34
21PB;2024;B;56604;B Psychologie;SOW;R;N;N;58;1.34
21PB;2024;B;56551;B Geneeskunde;MED;N;N;N;589;1.34
21PB;2024;B;56551;B Geneeskunde;MED;E;N;N;93;1.34
21PB;2024;B;56551;B Geneeskunde;MED;R;N;N;42;1.34
21PB;2024;B;50300;B Kunstmatige Intelligentie;SOW;N;N;N;420;1.34
21PB;2024;B;50300;B Kunstmatige Intelligentie;SOW;E;N;N;169;1.34
21PB;2024;B;50300;B Kunstmatige Intelligentie;SOW;R;N;N;91;1.34
21PB;2024;B;50645;B Bedrijfskunde;MAN;N;N;N;349;1.34
21PB;2024;B;50645;B Bedrijfskunde;MAN;E;N;N;152;1.34
21PB;2024;B;50645;B Bedrijfskunde;MAN;R;N;N;54;1.34
21PB;2024;B;56990;B Biomedische Wetenschappen;MED;N;N;N;323;1.34
21PB;2024;B;56990;B Biomedische Wetenschappen;MED;E;N;N;49;1.34
21PB;2024;B;56990;B Biomedische Wetenschappen;MED;R;N;N;21;1.34
21PB;2024;B;56615;B Communicatiewetenschap;SOW;N;N;N;266;1.34
21PB;2024;B;56615;B Communicatiewetenschap;SOW;E;N;N;46;1.34
21PB;2024;B;56615;B Communicatiewetenschap;SOW;R;N;N;14;1.34
21PB;2024;B;56981;B Politicologie;MAN;N;N;N;242;1.34
21PB;2024;B;56981;B Politicologie;MAN;E;N;N;66;1.34
21PB;2024;B;56981;B Politicologie;MAN;R;N;N;23;1.34
21PB;2024;B;56034;B Geschiedenis;FdL;N;N;N;213;1.34
21PB;2024;B;56034;B Geschiedenis;FdL;E;N;N;36;1.34
21PB;2024;B;56034;B Geschiedenis;FdL;R;N;N;13;1.34
21PB;2024;B;56980;B Wiskunde;FNWI;N;N;N;161;1.34
21PB;2024;B;56980;B Wiskunde;FNWI;E;N;N;55;1.34
21PB;2024;B;56980;B Wiskunde;FNWI;R;N;N;24;1.34
21PB;2024;B;56984;B Natuurkunde;FNWI;N;N;N;146;1.34
21PB;2024;B;56984;B Natuurkunde;FNWI;E;N;N;51;1.34
21PB;2024;B;56984;B Natuurkunde;FNWI;R;N;N;31;1.34
21PB;2024;B;56857;B Scheikunde;FNWI;N;N;N;106;1.34
21PB;2024;B;56857;B Scheikunde;FNWI;E;N;N;30;1.34
21PB;2024;B;56857;B Scheikunde;FNWI;R;N;N;15;1.34
21PB;2024;B;56081;B Filosofie;FdL;N;N;N;109;1.34
21PB;2024;B;56081;B Filosofie;FdL;E;N;N;25;1.34
21PB;2024;B;56081;B Filosofie;FdL;R;N;N;10;1.34
21PB;2024;M;60139;M Rechtsgeleerdheid;JUR;N;N;N;201;1.11
21PB;2024;M;60139;M Rechtsgeleerdheid;JUR;E;N;N;41;1.11
21PB;2024;M;60139;M Rechtsgeleerdheid;JUR;R;N;N;23;1.11
21PB;2024;M;60720;M Cognitive Neuroscience;SOW;N;N;N;130;1.11
21PB;2024;M;60720;M Cognitive Neuroscience;SOW;E;N;N;76;1.11
21PB;2024;M;60720;M Cognitive Neuroscience;SOW;R;N;N;49;1.11
21PB;2024;M;60300;M Informatica;SOW;N;N;N;109;1.11
21PB;2024;M;60300;M Informatica;SOW;E;N;N;69;1.11
21PB;2024;M;60300;M Informatica;SOW;R;N;N;40;1.11
21PB;2024;M;60710;M Molecular Mechanisms of Disease;FNWI;N;N;N;79;1.11
21PB;2024;M;60710;M Molecular Mechanisms of Disease;FNWI;E;N;N;48;1.11
21PB;2024;M;60710;M Molecular Mechanisms of Disease;FNWI;R;N;N;33;1.11
21PB;2024;M;60450;M Bestuurskunde;MAN;N;N;N;90;1.11
21PB;2024;M;60450;M Bestuurskunde;MAN;E;N;N;32;1.11
21PB;2024;M;60450;M Bestuurskunde;MAN;R;N;N;15;1.11
21PB;2024;M;60815;M Linguistiek;FdL;N;N;N;65;1.11
21PB;2024;M;60815;M Linguistiek;FdL;E;N;N;38;1.11
21PB;2024;M;60815;M Linguistiek;FdL;R;N;N;18;1.11
