Brincode;Studiejaar;Type_HO;Isatcode;Groepeernaam;Faculteit;Herkomst;Hogerejaars;Herinschrijving;Aantal;meercode_V
21PB;2017;B;56604;B Psychologie;SOW;N;N;N;495;1.31
21PB;2017;B;56604;B Psychologie;SOW;E;N;N;105;1.31
21PB;2017;B;56604;B Psychologie;SOW;R;N;N;44;1.31
21PB;2017;B;56551;B Geneeskunde;MED;N;N;N;496;1.31
21PB;2017;B;56551;B Geneeskunde;MED;E;N;N;85;1.31
21PB;2017;B;56551;B Geneeskunde;MED;R;N;N;35;1.31
21PB;2017;B;50300;B Kunstmatige Intelligentie;SOW;N;N;N;390;1.31
21PB;2017;B;50300;B Kunstmatige Intelligentie;SOW;E;N;N;145;1.31
21PB;2017;B;50300;B Kunstmatige Intelligentie;SOW;R;N;N;77;1.31
21PB;2017;B;50645;B Bedrijfskunde;MAN;N;N;N;312;1.31
21PB;2017;B;50645;B Bedrijfskunde;MAN;E;N;N;121;1.31
21PB;2017;B;50645;B Bedrijfskunde;MAN;R;N;N;52;1.31
21PB;2017;B;56990;B Biomedische Wetenschappen;MED;N;N;N;268;1.31
21PB;2017;B;56990;B Biomedische Wetenschappen;MED;E;N;N;46;1.31
21PB;2017;B;56990;B Biomedische Wetenschappen;MED;R;N;N;19;1.31
21PB;2017;B;56615;B Communicatiewetenschap;SOW;N;N;N;232;1.31
21PB;2017;B;56615;B Communicatiewetenschap;SOW;E;N;N;35;1.31
21PB;2017;B;56615;B Communicatiewetenschap;SOW;R;N;N;13;1.31
21PB;2017;B;56981;B Politicologie;MAN;N;N;N;207;1.31
21PB;2017;B;56981;B Politicologie;MAN;E;N;N;58;1.31
21PB;2017;B;56981;B Politicologie;MAN;R;N;N;22;1.31
21PB;2017;B;56034;B Geschiedenis;FdL;N;N;N;174;1.31
21PB;2017;B;56034;B Geschiedenis;FdL;E;N;N;28;1.31
21PB;2017;B;56034;B Geschiedenis;FdL;R;N;N;11;1.31
21PB;2017;B;56980;B Wiskunde;FNWI;N;N;N;141;1.31
21PB;2017;B;56980;B Wiskunde;FNWI;E;N;N;49;1.31
21PB;2017;B;56980;B Wiskunde;FNWI;R;N;N;22;1.31
21PB;2017;B;56984;B Natuurkunde;FNWI;N;N;N;122;1.31
21PB;2017;B;56984;B Natuurkunde;FNWI;E;N;N;46;1.31
21PB;2017;B;56984;B Natuurkunde;FNWI;R;N;N;25;1.31
21PB;2017;B;56857;B Scheikunde;FNWI;N;N;N;82;1.31
21PB;2017;B;56857;B Scheikunde;FNWI;E;N;N;25;1.31
21PB;2017;B;56857;B Scheikunde;FNWI;R;N;N;13;1.31
21PB;2017;B;56081;B Filosofie;FdL;N;N;N;76;1.31
21PB;2017;B;56081;B Filosofie;FdL;E;N;N;20;1.31
21PB;2017;B;56081;B Filosofie;FdL;R;N;N;9;1.31
21PB;2017;M;60139;M Rechtsgeleerdheid;JUR;N;N;N;175;1.08
21PB;2017;M;60139;M Rechtsgeleerdheid;JUR;E;N;N;36;1.08
21PB;2017;M;60139;M Rechtsgeleerdheid;JUR;R;N;N;19;1.08
21PB;2017;M;60720;M Cognitive Neuroscience;SOW;N;N;N;120;1.08
21PB;2017;M;60720;M Cognitive Neuroscience;SOW;E;N;N;65;1.08
21PB;2017;M;60720;M Cognitive Neuroscience;SOW;R;N;N;37;1.08
21PB;2017;M;60300;M Informatica;SOW;N;N;N;91;1.08
21PB;2017;M;60300;M Informatica;SOW;E;N;N;64;1.08
21PB;2017;M;60300;M Informatica;SOW;R;N;N;34;1.08
21PB;2017;M;60710;M Molecular Mechanisms of Disease;FNWI;N;N;N;63;1.08
21PB;2017;M;60710;M Molecular Mechanisms of Disease;FNWI;E;N;N;44;1.08
21PB;2017;M;60710;M Molecular Mechanisms of Disease;FNWI;R;N;N;27;1.08
21PB;2017;M;60450;M Bestuurskunde;MAN;N;N;N;73;1.08
21PB;2017;M;60450;M Bestuurskunde;MAN;E;N;N;28;1.08
21PB;2017;M;60450;M Bestuurskunde;MAN;R;N;N;13;1.08
21PB;2017;M;60815;M Linguistiek;FdL;N;N;N;48;1.08
21PB;2017;M;60815;M Linguistiek;FdL;E;N;N;33;1.08
21PB;2017;M;60815;M Linguistiek;FdL;R;N;N;16;1.08
