HBO_WO,Brincode,Brin_volgnr,Isatcode,Type_HO,Opl_vorm,Voertaal,Studiejaar,Fixus,Maand,Herkomst,Geslacht,meercode_V,meercode_A,Status,Hogerejaars,Herinschrijving,1cHO_L,1cHO_K,Aantal,etl_ingestion_timestamp,etl_is_deleted
H,30GB,13,34686,B,1,1,2020,N,9,N,V,1,0,I,J,J,6,6,35,2020-07-06,0
W,21PN,0,56604,B,1,1,2020,N,9,N,V,2,0,V,N,N,1,1,24,2020-07-06,0
H,30VP,0,34808,B,2,,2020,N,9,N,V,1,0,I,J,J,6,6,31,2020-07-06,0
W,21PF,0,56956,B,1,2,2020,N,9,R,V,0,1,A,N,N,1,1,23,2020-07-06,0
H,00MF,0,39111,B,1,1,2020,N,9,N,M,1,1,A,N,N,1,1,26,2020-07-06,0
H,25BE,0,34402,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,23,2020-07-06,0
W,21PD,0,56838,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,24,2020-07-06,0
W,21PM,0,50700,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,22,2020-07-06,0
W,21PE,0,56551,B,1,,2020,N,9,N,V,1,0,V,J,J,6,6,41,2020-07-06,0
H,28DN,0,34402,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,30,2020-07-06,0
H,22OJ,0,34479,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,25,2020-07-06,0
H,25BE,0,34507,B,1,1,2020,N,9,N,V,1,1,A,N,N,1,1,27,2020-07-06,0
W,21PI,0,66836,M,1,2,2020,N,9,R,M,0,2,A,N,N,1,1,31,2020-07-06,0
H,07GR,0,34397,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,29,2020-07-06,0
H,27PZ,7,35521,B,1,,2020,N,9,N,V,1,0,V,N,N,1,1,28,2020-07-06,0
W,21PM,0,56604,B,1,1,2020,N,9,N,V,1,1,A,N,N,1,1,30,2020-07-06,0
H,25DW,0,34560,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,45,2020-07-06,0
H,21RI,0,34507,B,1,1,2020,N,9,N,V,1,1,A,N,N,1,1,33,2020-07-06,0
H,27UM,1,34579,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,23,2020-07-06,0
H,01VU,0,34263,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,28,2020-07-06,0
H,25BA,0,34116,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,27,2020-07-06,0
H,09OT,0,34808,B,1,,2020,N,9,N,V,1,0,I,J,J,6,6,24,2020-07-06,0
H,02NT,0,39111,B,1,,2020,N,9,E,V,1,0,I,J,J,6,6,21,2020-07-06,0
W,21PD,0,56551,B,1,1,2020,N,9,N,V,2,0,V,N,N,1,1,34,2020-07-06,0
H,25JX,0,39280,B,1,,2020,N,9,N,M,1,0,I,J,J,6,6,31,2020-07-06,0
H,30HD,2,34333,B,1,,2020,N,9,N,M,1,0,I,J,J,6,6,23,2020-07-06,0
H,15BK,0,34808,B,1,,2020,N,9,N,V,1,0,V,J,J,6,6,28,2020-07-06,0
H,08OK,0,34808,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,63,2020-07-06,0
W,21PE,0,56604,B,1,1,2020,N,9,N,V,2,0,V,N,N,1,1,25,2020-07-06,0
W,21PE,0,66551,M,1,,2020,N,9,N,V,1,0,I,J,J,6,6,91,2020-07-06,0
W,21PD,0,56604,B,1,1,2020,N,9,N,V,1,0,V,N,N,2,2,22,2020-07-06,0
W,21PK,0,50897,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,38,2020-07-06,0
H,28DN,0,39205,B,1,1,2020,N,9,N,V,1,0,I,J,J,6,6,23,2020-07-06,0
W,21PD,0,56604,B,1,1,2020,N,9,N,V,1,1,V,N,N,1,1,28,2020-07-06,0
H,22OJ,0,34134,B,1,1,2020,N,9,N,V,1,1,A,N,N,1,1,31,2020-07-06,0
H,30GB,0,34116,B,1,1,2020,N,9,N,V,1,0,I,J,J,6,6,56,2020-07-06,0
W,21PE,0,56551,B,1,1,2020,N,9,N,M,2,0,V,N,N,1,1,21,2020-07-06,0
H,25KB,0,34263,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,34,2020-07-06,0
H,27UM,1,34263,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,21,2020-07-06,0
W,21PF,0,60349,M,1,2,2020,N,9,N,V,1,0,V,N,N,3,5,46,2020-07-06,0
H,25DW,0,34641,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,31,2020-07-06,0
H,28DN,0,34570,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,31,2020-07-06,0
H,25BE,0,39203,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,37,2020-07-06,0
H,15BK,0,34808,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,53,2020-07-06,0
W,21PK,0,66607,M,1,,2020,N,9,N,V,1,0,I,J,J,6,6,25,2020-07-06,0
H,25BE,0,34570,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,31,2020-07-06,0
H,27UM,1,35025,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,47,2020-07-06,0
H,21RI,0,34402,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,22,2020-07-06,0
W,21PJ,0,50019,B,1,,2020,N,9,E,M,1,0,V,J,J,6,6,21,2020-07-06,0
W,21PH,0,60300,M,1,2,2020,N,9,R,M,0,1,A,N,N,1,1,36,2020-07-06,0
H,27PZ,9,34808,B,2,,2020,N,9,N,V,1,0,I,J,J,6,6,21,2020-07-06,0
H,28DN,0,34507,B,1,1,2020,N,9,N,V,2,0,V,N,N,1,1,31,2020-07-06,0
H,25KB,1,35523,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,31,2020-07-06,0
H,01VU,0,35025,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,27,2020-07-06,0
H,28DN,0,34560,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,39,2020-07-06,0
W,21PK,0,50700,B,1,1,2020,N,9,N,V,1,0,I,J,J,6,6,54,2020-07-06,0
H,21UG,0,34808,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,21,2020-07-06,0
H,27PZ,0,39205,B,1,,2020,N,9,N,V,1,0,I,J,J,6,6,43,2020-07-06,0
H,22OJ,0,34402,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,44,2020-07-06,0
H,30GB,13,39205,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,32,2020-07-06,0
H,25KB,1,34035,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,24,2020-07-06,0
W,21PC,0,66607,M,1,1,2020,N,9,N,V,1,0,I,J,J,6,6,22,2020-07-06,0
H,25BE,0,34402,B,1,,2020,N,9,N,V,1,0,I,J,J,6,6,22,2020-07-06,0
H,28DN,0,30029,B,1,2,2020,N,9,N,M,1,0,V,N,N,1,1,46,2020-07-06,0
H,22OJ,0,34402,B,1,1,2020,N,9,N,M,2,0,V,N,N,1,1,21,2020-07-06,0
W,21PJ,0,50019,B,1,2,2020,N,9,E,M,1,0,V,N,N,1,1,28,2020-07-06,0
H,27PZ,2,34116,B,1,,2020,N,9,N,V,1,0,I,J,J,6,6,23,2020-07-06,0
W,21PF,0,56966,B,1,1,2020,N,9,N,M,2,1,V,N,N,1,1,23,2020-07-06,0
H,25BE,0,34570,B,1,,2020,N,9,N,V,1,0,I,J,J,6,6,28,2020-07-06,0
W,21PE,0,56607,B,1,,2020,N,9,N,V,1,0,V,J,J,6,6,40,2020-07-06,0
W,21PL,0,50700,B,1,1,2020,N,9,N,V,2,0,V,N,N,2,2,26,2020-07-06,0
H,30HD,0,34221,B,1,,2020,N,9,N,M,1,0,I,J,J,6,6,28,2020-07-06,0
W,21PF,0,66956,M,1,2,2020,N,9,E,M,0,1,A,N,N,1,1,23,2020-07-06,0
W,21PK,2,56551,B,1,1,2020,N,9,N,V,3,0,V,N,N,1,1,24,2020-07-06,0
W,21PN,0,50700,B,1,1,2020,N,9,N,V,2,0,V,N,N,2,2,21,2020-07-06,0
H,21RI,0,34560,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,57,2020-07-06,0
H,30TX,1,34869,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,22,2020-07-06,0
H,31FR,0,34405,B,1,1,2020,N,9,N,V,1,0,I,J,J,6,6,31,2020-07-06,0
W,21PN,0,50645,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,42,2020-07-06,0
W,21PD,0,56570,B,1,1,2020,N,9,N,V,3,0,V,N,N,1,1,21,2020-07-06,0
W,21PB,0,56551,B,1,1,2020,N,9,N,V,3,0,V,N,N,1,1,24,2020-07-06,0
H,00MF,0,34951,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,21,2020-07-06,0
W,21PL,0,66551,M,1,,2020,N,9,N,M,1,0,I,J,J,6,6,23,2020-07-06,0
H,21UI,0,35524,B,1,,2020,N,9,N,V,1,0,I,J,J,6,6,34,2020-07-06,0
H,28DN,0,34641,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,24,2020-07-06,0
W,21PL,0,66553,M,1,1,2020,N,9,N,V,1,0,V,N,N,3,5,33,2020-07-06,0
H,21RI,0,34507,B,1,1,2020,N,9,N,V,1,1,V,N,N,1,1,21,2020-07-06,0
W,21PC,0,60260,M,1,1,2020,N,9,N,V,1,0,V,N,N,3,5,26,2020-07-06,0
W,21PE,0,50700,B,1,,2020,N,9,N,V,1,0,I,J,J,6,6,33,2020-07-06,0
H,23AH,0,39203,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,28,2020-07-06,0
H,22OJ,0,34808,B,1,,2020,N,9,N,V,1,0,I,J,J,6,6,24,2020-07-06,0
W,21PE,0,56833,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,23,2020-07-06,0
H,30GB,13,30020,B,1,1,2020,N,9,N,M,1,0,I,J,J,6,6,29,2020-07-06,0
H,21RI,0,34405,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,25,2020-07-06,0
H,22OJ,0,34116,B,2,1,2020,N,9,N,V,1,0,V,N,N,1,1,21,2020-07-06,0
H,27UM,1,34419,B,1,2,2020,N,9,N,V,1,0,V,N,N,1,1,22,2020-07-06,0
W,21PC,0,56551,B,1,1,2020,N,9,N,M,1,0,V,J,J,6,6,21,2020-07-06,0
W,21PE,0,50700,B,1,1,2020,N,9,N,V,1,0,V,N,N,2,2,36,2020-07-06,0
H,25BE,0,34035,B,1,,2020,N,9,N,M,1,0,I,J,J,6,6,22,2020-07-06,0
W,21PL,0,56990,B,1,1,2020,N,9,N,V,4,1,V,N,N,1,1,23,2020-07-06,0
H,21RI,0,34560,B,1,,2020,N,9,N,V,1,0,V,J,J,6,6,33,2020-07-06,0
H,27UM,1,39205,B,3,1,2020,N,9,N,V,1,0,V,N,N,1,1,29,2020-07-06,0
H,28DN,0,34035,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,22,2020-07-06,0
H,27PZ,2,34560,B,1,,2020,N,9,N,V,1,0,I,J,J,6,6,29,2020-07-06,0
W,21PL,0,50645,B,1,1,2020,N,9,N,M,2,0,V,N,N,1,1,24,2020-07-06,0
W,21PE,0,50645,B,1,,2020,N,9,N,M,1,0,V,J,J,6,6,60,2020-07-06,0
W,21PH,0,60026,M,1,2,2020,N,9,R,M,0,1,A,N,N,1,1,26,2020-07-06,0
H,30TX,1,34869,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,25,2020-07-06,0
W,21PF,0,60349,M,1,2,2020,N,9,E,V,1,0,V,N,N,1,1,32,2020-07-06,0
H,25JX,7,39205,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,30,2020-07-06,0
H,25DW,0,30029,B,1,2,2020,N,9,N,M,1,0,V,N,N,1,1,22,2020-07-06,0
H,30GB,0,34421,B,1,1,2020,N,9,N,M,1,0,I,J,J,6,6,34,2020-07-06,0
H,25KB,1,34040,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,35,2020-07-06,0
W,21PC,0,56604,B,1,1,2020,N,9,N,V,2,0,V,N,N,1,1,36,2020-07-06,0
H,31FR,1,34479,B,1,2,2020,N,9,R,M,0,1,A,N,N,1,1,21,2020-07-06,0
H,00IC,0,34808,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,33,2020-07-06,0
W,21PL,0,56990,B,1,1,2020,N,9,N,V,3,1,V,N,N,1,1,24,2020-07-06,0
H,07GR,6,39268,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,26,2020-07-06,0
W,21PE,0,50645,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,85,2020-07-06,0
W,21PC,0,56607,B,1,1,2020,N,9,N,V,1,0,V,J,J,6,6,40,2020-07-06,0
W,21PF,0,56956,B,1,2,2020,N,9,R,M,1,1,A,N,N,1,1,23,2020-07-06,0
H,25DW,0,34808,B,1,1,2020,N,9,N,V,1,0,V,J,N,4,4,57,2020-07-06,0
H,22OJ,0,34402,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,88,2020-07-06,0
H,07GR,6,34263,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,28,2020-07-06,0
H,07GR,6,34560,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,31,2020-07-06,0
W,21PM,0,60364,M,1,2,2020,N,9,R,M,0,1,A,N,N,1,1,25,2020-07-06,0
W,21PC,0,56607,B,1,1,2020,N,9,N,V,2,0,V,N,N,1,1,29,2020-07-06,0
H,28DN,0,39280,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,37,2020-07-06,0
W,21PK,0,56604,B,1,2,2020,N,9,E,V,2,0,V,N,N,1,1,21,2020-07-06,0
W,21PD,0,56551,B,1,1,2020,N,9,N,V,1,0,V,N,N,5,5,21,2020-07-06,0
H,22OJ,0,34402,B,1,,2020,N,9,N,V,1,0,I,J,J,6,6,25,2020-07-06,0
H,27PZ,8,34278,B,1,,2020,N,9,N,M,1,0,V,N,N,1,1,33,2020-07-06,0
H,25JX,7,39205,B,1,,2020,N,9,N,V,1,0,I,J,J,6,6,41,2020-07-06,0
H,25KB,1,34560,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,75,2020-07-06,0
W,21PC,0,56604,B,1,1,2020,N,9,N,V,1,0,I,J,J,6,6,30,2020-07-06,0
W,21PB,0,50700,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,46,2020-07-06,0
H,25DW,0,34116,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,41,2020-07-06,0
W,21PF,0,56966,B,1,1,2020,N,9,N,M,1,1,V,N,N,1,1,37,2020-07-06,0
H,21RI,0,34479,B,1,,2020,N,9,N,M,1,0,I,J,J,6,6,26,2020-07-06,0
H,30GB,0,30018,B,1,1,2020,N,9,N,M,1,0,I,J,J,6,6,27,2020-07-06,0
W,21PE,0,50950,B,1,,2020,N,9,N,M,1,0,I,J,J,6,6,28,2020-07-06,0
W,21PK,0,50700,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,21,2020-07-06,0
H,22OJ,0,35523,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,38,2020-07-06,0
H,30GB,0,39203,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,48,2020-07-06,0
H,31FR,0,39268,B,1,1,2020,N,9,N,V,1,0,I,J,J,6,6,27,2020-07-06,0
W,21PB,0,56034,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,21,2020-07-06,0
H,07GR,0,34116,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,36,2020-07-06,0
W,21PL,0,50700,B,1,,2020,N,9,N,V,1,0,I,J,J,6,6,22,2020-07-06,0
H,23AH,2,34411,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,22,2020-07-06,0
H,22OJ,0,34560,B,1,,2020,N,9,N,V,1,0,I,J,J,6,6,41,2020-07-06,0
W,21PM,0,56560,B,1,1,2020,N,9,N,V,3,0,V,N,N,1,1,25,2020-07-06,0
H,21UI,0,34411,B,1,,2020,N,9,N,V,1,0,V,J,J,6,6,23,2020-07-06,0
H,25DW,0,34570,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,22,2020-07-06,0
W,21PJ,0,56551,B,1,,2020,N,9,N,V,1,0,V,J,J,6,6,44,2020-07-06,0
W,21PE,0,50645,B,1,,2020,N,9,N,V,1,0,V,J,J,6,6,29,2020-07-06,0
H,25BE,0,34116,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,36,2020-07-06,0
W,21PB,0,50700,B,1,1,2020,N,9,N,V,3,0,V,N,N,1,1,28,2020-07-06,0
H,25DW,0,34560,B,1,,2020,N,9,N,V,1,0,I,J,J,6,6,43,2020-07-06,0
W,21PE,0,60420,M,1,1,2020,N,9,N,V,1,0,V,N,N,3,5,44,2020-07-06,0
W,21PJ,0,56604,B,1,2,2020,N,9,E,V,2,0,V,N,N,1,1,21,2020-07-06,0
H,30GB,0,34040,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,27,2020-07-06,0
W,21PF,0,60349,M,1,2,2020,N,9,E,V,0,1,A,N,N,1,1,24,2020-07-06,0
W,21PK,0,59312,B,1,2,2020,N,9,E,V,0,1,A,N,N,1,1,24,2020-07-06,0
H,01VU,0,35025,B,1,,2020,N,9,N,M,1,0,V,N,N,1,1,24,2020-07-06,0
W,21PC,0,66551,M,1,1,2020,N,9,N,V,1,0,I,J,J,6,6,72,2020-07-06,0
H,31FR,0,34560,B,2,1,2020,N,9,N,V,1,0,I,J,J,6,6,26,2020-07-06,0
H,30GB,13,34402,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,63,2020-07-06,0
H,21UI,0,35521,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,37,2020-07-06,0
H,01VU,0,34116,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,21,2020-07-06,0
H,28DN,0,35025,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,33,2020-07-06,0
H,28DN,0,30020,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,77,2020-07-06,0
W,21PB,12,60417,M,1,2,2020,N,9,N,M,1,0,V,N,N,3,5,25,2020-07-06,0
W,21PF,0,60353,M,1,2,2020,N,9,R,M,0,1,A,N,N,1,1,29,2020-07-06,0
H,25BE,0,34507,B,1,,2020,N,9,N,V,1,0,I,J,J,6,6,49,2020-07-06,0
H,27UM,1,35158,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,76,2020-07-06,0
H,28DN,0,34507,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,34,2020-07-06,0
H,25DW,0,39205,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,26,2020-07-06,0
H,25KB,1,34500,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,29,2020-07-06,0
H,30GB,0,30020,B,1,2,2020,N,9,N,M,1,0,I,J,J,6,6,67,2020-07-06,0
H,28DN,0,80156,A,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,24,2020-07-06,0
W,21PB,0,50700,B,1,1,2020,N,9,N,V,4,0,V,N,N,1,1,23,2020-07-06,0
W,21PF,0,66956,M,1,2,2020,N,9,E,M,1,0,V,N,N,3,5,21,2020-07-06,0
W,21PF,0,60349,M,1,2,2020,N,9,R,V,1,0,V,N,N,1,1,30,2020-07-06,0
W,21PJ,0,50019,B,1,,2020,N,9,E,V,1,0,V,J,J,6,6,30,2020-07-06,0
H,02NR,1,34411,B,1,,2020,N,9,N,V,1,0,I,J,J,6,6,31,2020-07-06,0
H,25KB,1,34116,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,22,2020-07-06,0
W,21PN,0,56402,B,1,2,2020,N,9,N,M,1,0,V,N,N,2,2,44,2020-07-06,0
W,21PF,0,56953,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,25,2020-07-06,0
W,21PJ,0,50950,B,1,2,2020,N,9,E,M,1,0,V,N,N,1,1,36,2020-07-06,0
W,21PC,0,50019,B,1,2,2020,N,9,N,M,1,0,V,J,J,6,6,24,2020-07-06,0
H,28DN,0,34464,B,1,1,2020,N,9,N,M,1,0,V,N,N,1,1,24,2020-07-06,0
W,21PD,0,56607,B,1,1,2020,N,9,N,V,1,0,V,N,N,2,2,61,2020-07-06,0
H,31FR,2,34808,B,1,1,2020,N,9,N,V,1,0,V,N,N,1,1,23,2020-07-06,0
