Brincode;Studiejaar;Type_HO;Isatcode;Groepeernaam;Faculteit;Herkomst;Hogerejaars;Herinschrijving;Aantal;meercode_V
21PB;2022;B;56604;B Psychologie;SOW;N;N;N;474;1.27
21PB;2022;B;56604;B Psychologie;SOW;E;N;N;103;1.27
21PB;2022;B;56604;B Psychologie;SOW;R;N;N;49;1.27
21PB;2022;B;56551;B Geneeskunde;MED;N;N;N;439;1.27
21PB;2022;B;56551;B Geneeskunde;MED;E;N;N;85;1.27
21PB;2022;B;56551;B Geneeskunde;MED;R;N;N;33;1.27
21PB;2022;B;50300;B Kunstmatige Intelligentie;SOW;N;N;N;382;1.27
21PB;2022;B;50300;B Kunstmatige Intelligentie;SOW;E;N;N;160;1.27
21PB;2022;B;50300;B Kunstmatige Intelligentie;SOW;R;N;N;75;1.27
21PB;2022;B;50645;B Bedrijfskunde;MAN;N;N;N;308;1.27
21PB;2022;B;50645;B Bedrijfskunde;MAN;E;N;N;129;1.27
21PB;2022;B;50645;B Bedrijfskunde;MAN;R;N;N;49;1.27
21PB;2022;B;56990;B Biomedische Wetenschappen;MED;N;N;N;263;1.27
21PB;2022;B;56990;B Biomedische Wetenschappen;MED;E;N;N;40;1.27
21PB;2022;B;56990;B Biomedische Wetenschappen;MED;R;N;N;17;1.27
21PB;2022;B;56615;B Communicatiewetenschap;SOW;N;N;N;245;1.27
21PB;2022;B;56615;B Communicatiewetenschap;SOW;E;N;N;37;1.27
21PB;2022;B;56615;B Communicatiewetenschap;SOW;R;N;N;13;1.27
21PB;2022;B;56981;B Politicologie;MAN;N;N;N;202;1.27
21PB;2022;B;56981;B Politicologie;MAN;E;N;N;59;1.27
21PB;2022;B;56981;B Politicologie;MAN;R;N;N;22;1.27
21PB;2022;B;56034;B Geschiedenis;FdL;N;N;N;188;1.27
21PB;2022;B;56034;B Geschiedenis;FdL;E;N;N;30;1.27
21PB;2022;B;56034;B Geschiedenis;FdL;R;N;N;10;1.27
21PB;2022;B;56980;B Wiskunde;FNWI;N;N;N;137;1.27
21PB;2022;B;56980;B Wiskunde;FNWI;E;N;N;46;1.27
21PB;2022;B;56980;B Wiskunde;FNWI;R;N;N;21;1.27
21PB;2022;B;56984;B Natuurkunde;FNWI;N;N;N;125;1.27
21PB;2022;B;56984;B Natuurkunde;FNWI;E;N;N;42;1.27
21PB;2022;B;56984;B Natuurkunde;FNWI;R;N;N;24;1.27
21PB;2022;B;56857;B Scheikunde;FNWI;N;N;N;95;1.27
21PB;2022;B;56857;B Scheikunde;FNWI;E;N;N;25;1.27
21PB;2022;B;56857;B Scheikunde;FNWI;R;N;N;13;1.27
21PB;2022;B;56081;B Filosofie;FdL;N;N;N;78;1.27
21PB;2022;B;56081;B Filosofie;FdL;E;N;N;22;1.27
21PB;2022;B;56081;B Filosofie;FdL;R;N;N;8;1.27
21PB;2022;M;60139;M Rechtsgeleerdheid;JUR;N;N;N;178;1.13
21PB;2022;M;60139;M Rechtsgeleerdheid;JUR;E;N;N;37;1.13
21PB;2022;M;60139;M Rechtsgeleerdheid;JUR;R;N;N;20;1.13
21PB;2022;M;60720;M Cognitive Neuroscience;SOW;N;N;N;115;1.13
21PB;2022;M;60720;M Cognitive Neuroscience;SOW;E;N;N;76;1.13
21PB;2022;M;60720;M Cognitive Neuroscience;SOW;R;N;N;43;1.13
21PB;2022;M;60300;M Informatica;SOW;N;N;N;96;1.13
21PB;2022;M;60300;M Informatica;SOW;E;N;N;61;1.13
21PB;2022;M;60300;M Informatica;SOW;R;N;N;32;1.13
21PB;2022;M;60710;M Molecular Mechanisms of Disease;FNWI;N;N;N;69;1.13
21PB;2022;M;60710;M Molecular Mechanisms of Disease;FNWI;E;N;N;46;1.13
21PB;2022;M;60710;M Molecular Mechanisms of Disease;FNWI;R;N;N;29;1.13
21PB;2022;M;60450;M Bestuurskunde;MAN;N;N;N;88;1.13
21PB;2022;M;60450;M Bestuurskunde;MAN;E;N;N;27;1.13
21PB;2022;M;60450;M Bestuurskunde;MAN;R;N;N;13;1.13
21PB;2022;M;60815;M Linguistiek;FdL;N;N;N;60;1.13
21PB;2022;M;60815;M Linguistiek;FdL;E;N;N;34;1.13
21PB;2022;M;60815;M Linguistiek;FdL;R;N;N;15;1.13
