Brincode;Studiejaar;Type_HO;Isatcode;Groepeernaam;Faculteit;Herkomst;Hogerejaars;Herinschrijving;Aantal;meercode_V
21PB;2018;B;56604;B Psychologie;SOW;N;N;N;409;1.28
21PB;2018;B;56604;B Psychologie;SOW;E;N;N;92;1.28
21PB;2018;B;56604;B Psychologie;SOW;R;N;N;39;1.28
21PB;2018;B;56551;B Geneeskunde;MED;N;N;N;436;1.28
21PB;2018;B;56551;B Geneeskunde;MED;E;N;N;76;1.28
21PB;2018;B;56551;B Geneeskunde;MED;R;N;N;32;1.28
21PB;2018;B;50300;B Kunstmatige Intelligentie;SOW;N;N;N;334;1.28
21PB;2018;B;50300;B Kunstmatige Intelligentie;SOW;E;N;N;128;1.28
21PB;2018;B;50300;B Kunstmatige Intelligentie;SOW;R;N;N;67;1.28
21PB;2018;B;50645;B Bedrijfskunde;MAN;N;N;N;298;1.28
21PB;2018;B;50645;B Bedrijfskunde;MAN;E;N;N;100;1.28
21PB;2018;B;50645;B Bedrijfskunde;MAN;R;N;N;46;1.28
21PB;2018;B;56990;B Biomedische Wetenschappen;MED;N;N;N;228;1.28
21PB;2018;B;56990;B Biomedische Wetenschappen;MED;E;N;N;36;1.28
21PB;2018;B;56990;B Biomedische Wetenschappen;MED;R;N;N;16;1.28
21PB;2018;B;56615;B Communicatiewetenschap;SOW;N;N;N;189;1.28
21PB;2018;B;56615;B Communicatiewetenschap;SOW;E;N;N;34;1.28
21PB;2018;B;56615;B Communicatiewetenschap;SOW;R;N;N;11;1.28
21PB;2018;B;56981;B Politicologie;MAN;N;N;N;197;1.28
21PB;2018;B;56981;B Politicologie;MAN;E;N;N;56;1.28
21PB;2018;B;56981;B Politicologie;MAN;R;N;N;19;1.28
21PB;2018;B;56034;B Geschiedenis;FdL;N;N;N;148;1.28
21PB;2018;B;56034;B Geschiedenis;FdL;E;N;N;24;1.28
21PB;2018;B;56034;B Geschiedenis;FdL;R;N;N;10;1.28
21PB;2018;B;56980;B Wiskunde;FNWI;N;N;N;119;1.28
21PB;2018;B;56980;B Wiskunde;FNWI;E;N;N;42;1.28
21PB;2018;B;56980;B Wiskunde;FNWI;R;N;N;19;1.28
21PB;2018;B;56984;B Natuurkunde;FNWI;N;N;N;105;1.28
21PB;2018;B;56984;B Natuurkunde;FNWI;E;N;N;35;1.28
21PB;2018;B;56984;B Natuurkunde;FNWI;R;N;N;22;1.28
21PB;2018;B;56857;B Scheikunde;FNWI;N;N;N;81;1.28
21PB;2018;B;56857;B Scheikunde;FNWI;E;N;N;22;1.28
21PB;2018;B;56857;B Scheikunde;FNWI;R;N;N;12;1.28
21PB;2018;B;56081;B Filosofie;FdL;N;N;N;68;1.28
21PB;2018;B;56081;B Filosofie;FdL;E;N;N;17;1.28
21PB;2018;B;56081;B Filosofie;FdL;R;N;N;8;1.28
21PB;2018;M;60139;M Rechtsgeleerdheid;JUR;N;N;N;152;1.12
21PB;2018;M;60139;M Rechtsgeleerdheid;JUR;E;N;N;36;1.12
21PB;2018;M;60139;M Rechtsgeleerdheid;JUR;R;N;N;16;1.12
21PB;2018;M;60720;M Cognitive Neuroscience;SOW;N;N;N;102;1.12
21PB;2018;M;60720;M Cognitive Neuroscience;SOW;E;N;N;73;1.12
21PB;2018;M;60720;M Cognitive Neuroscience;SOW;R;N;N;39;1.12
21PB;2018;M;60300;M Informatica;SOW;N;N;N;83;1.12
21PB;2018;M;60300;M Informatica;SOW;E;N;N;56;1.12
21PB;2018;M;60300;M Informatica;SOW;R;N;N;27;1.12
21PB;2018;M;60710;M Molecular Mechanisms of Disease;FNWI;N;N;N;60;1.12
21PB;2018;M;60710;M Molecular Mechanisms of Disease;FNWI;E;N;N;45;1.12
21PB;2018;M;60710;M Molecular Mechanisms of Disease;FNWI;R;N;N;26;1.12
21PB;2018;M;60450;M Bestuurskunde;MAN;N;N;N;71;1.12
21PB;2018;M;60450;M Bestuurskunde;MAN;E;N;N;26;1.12
21PB;2018;M;60450;M Bestuurskunde;MAN;R;N;N;14;1.12
21PB;2018;M;60815;M Linguistiek;FdL;N;N;N;48;1.12
21PB;2018;M;60815;M Linguistiek;FdL;E;N;N;32;1.12
21PB;2018;M;60815;M Linguistiek;FdL;R;N;N;16;1.12
