Brincode;Studiejaar;Type_HO;Isatcode;Groepeernaam;Faculteit;Herkomst;Hogerejaars;Herinschrijving;Aantal;meercode_V
21PB;2018;B;56604;B Psychologie;SOW;N;N;N;504;1.28
21PB;2018;B;56604;B Psychologie;SOW;E;N;N;113;1.28
21PB;2018;B;56604;B Psychologie;SOW;R;N;N;48;1.28
21PB;2018;B;56551;B Geneeskunde;MED;N;N;N;533;1.28
21PB;2018;B;56551;B Geneeskunde;MED;E;N;N;93;1.28
21PB;2018;B;56551;B Geneeskunde;MED;R;N;N;38;1.28
21PB;2018;B;50300;B Kunstmatige Intelligentie;SOW;N;N;N;410;1.28
21PB;2018;B;50300;B Kunstmatige Intelligentie;SOW;E;N;N;154;1.28
21PB;2018;B;50300;B Kunstmatige Intelligentie;SOW;R;N;N;79;1.28
21PB;2018;B;50645;B Bedrijfskunde;MAN;N;N;N;363;1.28
21PB;2018;B;50645;B Bedrijfskunde;MAN;E;N;N;119;1.28
21PB;2018;B;50645;B Bedrijfskunde;MAN;R;N;N;56;1.28
21PB;2018;B;56990;B Biomedische Wetenschappen;MED;N;N;N;278;1.28
21PB;2018;B;56990;B Biomedische Wetenschappen;MED;E;N;N;44;1.28
21PB;2018;B;56990;B Biomedische Wetenschappen;MED;R;N;N;19;1.28
21PB;2018;B;56615;B Communicatiewetenschap;SOW;N;N;N;226;1.28
21PB;2018;B;56615;B Communicatiewetenschap;SOW;E;N;N;42;1.28
21PB;2018;B;56615;B Communicatiewetenschap;SOW;R;N;N;13;1.28
21PB;2018;B;56981;B Politicologie;MAN;N;N;N;237;1.28
21PB;2018;B;56981;B Politicologie;MAN;E;N;N;67;1.28
21PB;2018;B;56981;B Politicologie;MAN;R;N;N;23;1.28
21PB;2018;B;56034;B Geschiedenis;FdL;N;N;N;183;1.28
21PB;2018;B;56034;B Geschiedenis;FdL;E;N;N;29;1.28
21PB;2018;B;56034;B Geschiedenis;FdL;R;N;N;12;1.28
21PB;2018;B;56980;B Wiskunde;FNWI;N;N;N;141;1.28
21PB;2018;B;56980;B Wiskunde;FNWI;E;N;N;50;1.28
21PB;2018;B;56980;B Wiskunde;FNWI;R;N;N;24;1.28
21PB;2018;B;56984;B Natuurkunde;FNWI;N;N;N;131;1.28
21PB;2018;B;56984;B Natuurkunde;FNWI;E;N;N;42;1.28
21PB;2018;B;56984;B Natuurkunde;FNWI;R;N;N;27;1.28
21PB;2018;B;56857;B Scheikunde;FNWI;N;N;N;97;1.28
21PB;2018;B;56857;B Scheikunde;FNWI;E;N;N;27;1.28
21PB;2018;B;56857;B Scheikunde;FNWI;R;N;N;15;1.28
21PB;2018;B;56081;B Filosofie;FdL;N;N;N;83;1.28
21PB;2018;B;56081;B Filosofie;FdL;E;N;N;21;1.28
21PB;2018;B;56081;B Filosofie;FdL;R;N;N;10;1.28
21PB;2018;M;60139;M Rechtsgeleerdheid;JUR;N;N;N;168;1.12
21PB;2018;M;60139;M Rechtsgeleerdheid;JUR;E;N;N;39;1.12
21PB;2018;M;60139;M Rechtsgeleerdheid;JUR;R;N;N;18;1.12
21PB;2018;M;60720;M Cognitive Neuroscience;SOW;N;N;N;114;1.12
21PB;2018;M;60720;M Cognitive Neuroscience;SOW;E;N;N;81;1.12
21PB;2018;M;60720;M Cognitive Neuroscience;SOW;R;N;N;44;1.12
21PB;2018;M;60300;M Informatica;SOW;N;N;N;93;1.12
21PB;2018;M;60300;M Informatica;SOW;E;N;N;62;1.12
21PB;2018;M;60300;M Informatica;SOW;R;N;N;30;1.12
21PB;2018;M;60710;M Molecular Mechanisms of Disease;FNWI;N;N;N;66;1.12
21PB;2018;M;60710;M Molecular Mechanisms of Disease;FNWI;E;N;N;50;1.12
21PB;2018;M;60710;M Molecular Mechanisms of Disease;FNWI;R;N;N;28;1.12
21PB;2018;M;60450;M Bestuurskunde;MAN;N;N;N;78;1.12
21PB;2018;M;60450;M Bestuurskunde;MAN;E;N;N;28;1.12
21PB;2018;M;60450;M Bestuurskunde;MAN;R;N;N;16;1.12
21PB;2018;M;60815;M Linguistiek;FdL;N;N;N;52;1.12
21PB;2018;M;60815;M Linguistiek;FdL;E;N;N;35;1.12
21PB;2018;M;60815;M Linguistiek;FdL;R;N;N;18;1.12
