Brincode;Studiejaar;Type_HO;Isatcode;Groepeernaam;Faculteit;Herkomst;Hogerejaars;Herinschrijving;Aantal;meercode_V
21PB;2023;B;56604;B Psychologie;SOW;N;N;N;689;1.32
21PB;2023;B;56604;B Psychologie;SOW;E;N;N;124;1.32
21PB;2023;B;56604;B Psychologie;SOW;R;N;N;56;1.32
21PB;2023;B;56551;B Geneeskunde;MED;N;N;N;616;1.32
21PB;2023;B;56551;B Geneeskunde;MED;E;N;N;112;1.32
21PB;2023;B;56551;B Geneeskunde;MED;R;N;N;45;1.32
21PB;2023;B;50300;B Kunstmatige Intelligentie;SOW;N;N;N;460;1.32
21PB;2023;B;50300;B Kunstmatige Intelligentie;SOW;E;N;N;188;1.32
21PB;2023;B;50300;B Kunstmatige Intelligentie;SOW;R;N;N;101;1.32
21PB;2023;B;50645;B Bedrijfskunde;MAN;N;N;N;437;1.32
21PB;2023;B;50645;B Bedrijfskunde;MAN;E;N;N;159;1.32
21PB;2023;B;50645;B Bedrijfskunde;MAN;R;N;N;63;1.32
21PB;2023;B;56990;B Biomedische Wetenschappen;MED;N;N;N;311;1.32
21PB;2023;B;56990;B Biomedische Wetenschappen;MED;E;N;N;51;1.32
21PB;2023;B;56990;B Biomedische Wetenschappen;MED;R;N;N;21;1.32
21PB;2023;B;56615;B Communicatiewetenschap;SOW;N;N;N;304;1.32
21PB;2023;B;56615;B Communicatiewetenschap;SOW;E;N;N;50;1.32
21PB;2023;B;56615;B Communicatiewetenschap;SOW;R;N;N;17;1.32
21PB;2023;B;56981;B Politicologie;MAN;N;N;N;252;1.32
21PB;2023;B;56981;B Politicologie;MAN;E;N;N;74;1.32
21PB;2023;B;56981;B Politicologie;MAN;R;N;N;24;1.32
21PB;2023;B;56034;B Geschiedenis;FdL;N;N;N;225;1.32
21PB;2023;B;56034;B Geschiedenis;FdL;E;N;N;37;1.32
21PB;2023;B;56034;B Geschiedenis;FdL;R;N;N;12;1.32
21PB;2023;B;56980;B Wiskunde;FNWI;N;N;N;162;1.32
21PB;2023;B;56980;B Wiskunde;FNWI;E;N;N;59;1.32
21PB;2023;B;56980;B Wiskunde;FNWI;R;N;N;28;1.32
21PB;2023;B;56984;B Natuurkunde;FNWI;N;N;N;157;1.32
21PB;2023;B;56984;B Natuurkunde;FNWI;E;N;N;49;1.32
21PB;2023;B;56984;B Natuurkunde;FNWI;R;N;N;34;1.32
21PB;2023;B;56857;B Scheikunde;FNWI;N;N;N;116;1.32
21PB;2023;B;56857;B Scheikunde;FNWI;E;N;N;32;1.32
21PB;2023;B;56857;B Scheikunde;FNWI;R;N;N;16;1.32
21PB;2023;B;56081;B Filosofie;FdL;N;N;N;93;1.32
21PB;2023;B;56081;B Filosofie;FdL;E;N;N;27;1.32
21PB;2023;B;56081;B Filosofie;FdL;R;N;N;10;1.32
21PB;2023;M;60139;M Rechtsgeleerdheid;JUR;N;N;N;185;1.1
21PB;2023;M;60139;M Rechtsgeleerdheid;JUR;E;N;N;38;1.1
21PB;2023;M;60139;M Rechtsgeleerdheid;JUR;R;N;N;21;1.1
21PB;2023;M;60720;M Cognitive Neuroscience;SOW;N;N;N;128;1.1
21PB;2023;M;60720;M Cognitive Neuroscience;SOW;E;N;N;77;1.1
21PB;2023;M;60720;M Cognitive Neuroscience;SOW;R;N;N;46;1.1
21PB;2023;M;60300;M Informatica;SOW;N;N;N;105;1.1
21PB;2023;M;60300;M Informatica;SOW;E;N;N;69;1.1
21PB;2023;M;60300;M Informatica;SOW;R;N;N;37;1.1
21PB;2023;M;60710;M Molecular Mechanisms of Disease;FNWI;N;N;N;77;1.1
21PB;2023;M;60710;M Molecular Mechanisms of Disease;FNWI;E;N;N;53;1.1
21PB;2023;M;60710;M Molecular Mechanisms of Disease;FNWI;R;N;N;29;1.1
21PB;2023;M;60450;M Bestuurskunde;MAN;N;N;N;87;1.1
21PB;2023;M;60450;M Bestuurskunde;MAN;E;N;N;32;1.1
21PB;2023;M;60450;M Bestuurskunde;MAN;R;N;N;16;1.1
21PB;2023;M;60815;M Linguistiek;FdL;N;N;N;56;1.1
21PB;2023;M;60815;M Linguistiek;FdL;E;N;N;37;1.1
21PB;2023;M;60815;M Linguistiek;FdL;R;N;N;20;1.1
