HBO_WO,Brincode,Brin_volgnr,Isatcode,Type_HO,Opl_vorm,Voertaal,Studiejaar,Fixus,Maand,Herkomst,Geslacht,meercode_V,meercode_A,Status,Hogerejaars,Herinschrijving,1cHO_L,1cHO_K,Aantal,etl_ingestion_timestamp,etl_is_deleted
H,22OJ,0,30029,B,1,2,2023,N,9,N,M,2,0,V,N,N,1,1,41,2023-05-08,0
H,27PZ,2,34421,B,1,,2023,N,9,N,M,1,0,I,J,J,6,6,35,2023-05-08,0
W,21PE,0,50645,B,1,1,2023,N,9,N,V,3,0,V,N,N,1,1,39,2023-05-08,0
H,25JX,0,30008,B,1,,2023,N,9,N,V,1,0,I,J,J,6,6,27,2023-05-08,0
W,21PB,0,56607,B,1,1,2023,N,9,N,V,4,1,V,N,N,1,1,24,2023-05-08,0
W,21PB,0,60300,M,1,2,2023,N,9,N,M,1,0,V,N,N,3,5,26,2023-05-08,0
H,01VU,0,34560,B,1,1,2023,N,9,N,V,2,0,V,N,N,1,1,28,2023-05-08,0
H,23KJ,0,34798,B,1,2,2023,N,9,E,V,0,1,A,N,N,1,1,22,2023-05-08,0
H,25DW,0,34397,B,1,,2023,N,9,N,V,1,0,V,J,J,6,6,24,2023-05-08,0
W,21PB,12,50429,B,1,2,2023,N,9,E,V,1,2,A,N,N,1,1,26,2023-05-08,0
W,21PF,0,56966,B,1,1,2023,N,9,N,M,1,0,V,N,N,6,6,33,2023-05-08,0
W,21PK,2,56551,B,1,1,2023,N,9,N,V,1,0,V,N,N,1,1,59,2023-05-08,0
W,21PE,0,60409,M,1,2,2023,N,9,E,M,2,0,V,N,N,1,1,27,2023-05-08,0
W,21PC,0,56604,B,1,2,2023,N,9,E,V,1,1,V,N,N,1,1,40,2023-05-08,0
W,21PC,0,60644,M,1,2,2023,N,9,N,M,1,0,V,N,N,3,5,37,2023-05-08,0
W,21PK,0,50897,B,1,1,2023,N,9,N,M,4,0,V,N,N,1,1,42,2023-05-08,0
W,21PF,0,56951,B,1,1,2023,N,9,N,M,1,1,V,N,N,1,1,35,2023-05-08,0
H,30GB,13,34686,B,1,1,2023,N,9,N,V,1,0,I,J,J,6,6,125,2023-05-08,0
H,30GB,4,35195,B,1,1,2023,N,9,N,V,1,0,I,J,J,6,6,27,2023-05-08,0
W,21PN,0,56604,B,1,1,2023,N,9,N,V,2,0,V,N,N,1,1,79,2023-05-08,0
W,21PK,0,59318,B,1,2,2023,N,9,E,V,1,0,I,J,J,6,6,26,2023-05-08,0
W,21PJ,0,56990,B,1,2,2023,N,9,E,V,4,1,V,N,N,1,1,23,2023-05-08,0
W,21PB,0,60734,M,1,2,2023,N,9,E,V,3,1,V,N,N,1,1,22,2023-05-08,0
W,21PE,0,50950,B,1,,2023,N,9,N,M,2,0,V,J,J,6,6,41,2023-05-08,0
H,25BE,0,34402,B,1,,2023,N,9,N,M,1,0,V,J,J,6,6,26,2023-05-08,0
W,21PC,0,50019,B,1,2,2023,N,9,N,M,1,0,I,J,J,6,6,39,2023-05-08,0
W,21PD,0,56604,B,1,1,2023,N,9,N,V,3,1,V,N,N,1,1,27,2023-05-08,0
H,30VP,0,34808,B,2,,2023,N,9,N,V,1,0,I,J,J,6,6,91,2023-05-08,0
H,30GB,0,35517,B,1,1,2023,N,9,N,M,1,0,I,J,J,6,6,21,2023-05-08,0
H,25DW,16,35158,B,2,,2023,N,9,N,V,1,0,V,J,J,6,6,35,2023-05-08,0
W,21PK,0,59318,B,1,2,2023,N,9,R,M,1,2,A,N,N,1,1,32,2023-05-08,0
H,22OJ,0,39111,B,1,2,2023,N,9,N,V,1,0,V,N,N,1,1,38,2023-05-08,0
H,25DW,0,35197,B,1,1,2023,N,9,N,M,1,0,V,J,N,4,4,21,2023-05-08,0
W,21PD,0,66990,M,1,2,2023,N,9,R,M,0,1,A,N,N,1,1,55,2023-05-08,0
W,21PF,0,56955,B,1,1,2023,N,9,N,V,2,0,V,N,N,1,1,55,2023-05-08,0
W,21PF,0,56956,B,1,2,2023,N,9,R,V,0,1,A,N,N,1,1,107,2023-05-08,0
W,21PK,0,56560,B,1,1,2023,N,9,N,M,2,0,V,N,N,4,4,23,2023-05-08,0
W,21PK,0,60229,M,1,2,2023,N,9,N,M,1,0,V,N,N,3,5,22,2023-05-08,0
W,21PK,0,60216,M,1,1,2023,N,9,N,V,2,1,A,N,N,3,4,30,2023-05-08,0
H,27PZ,0,34808,B,1,,2023,N,9,N,V,1,0,I,J,J,6,6,28,2023-05-08,0
H,28DN,0,30029,B,1,2,2023,N,9,R,M,0,2,A,N,N,1,1,24,2023-05-08,0
W,21PD,0,50007,B,1,1,2023,N,9,N,V,2,0,V,N,N,1,1,21,2023-05-08,0
W,21PD,0,56551,B,1,1,2023,N,9,N,M,4,0,V,N,N,1,1,28,2023-05-08,0
W,21PJ,0,50019,B,1,2,2023,N,9,E,V,2,0,V,N,N,1,1,65,2023-05-08,0
H,25JX,13,34456,B,1,,2023,N,9,N,M,1,0,I,J,J,6,6,25,2023-05-08,0
W,21PH,0,56953,B,1,2,2023,N,9,R,M,0,1,A,N,N,1,1,35,2023-05-08,0
W,21PN,0,56401,B,1,2,2023,N,9,E,M,4,0,V,N,N,1,1,29,2023-05-08,0
H,27PZ,7,34134,B,1,,2023,N,9,N,V,0,1,A,N,N,1,1,29,2023-05-08,0
W,21PK,0,60830,M,1,2,2023,N,9,R,V,0,1,A,N,N,1,1,58,2023-05-08,0
H,00MF,0,39111,B,1,1,2023,N,9,N,M,1,1,A,N,N,1,1,76,2023-05-08,0
W,21PK,0,56604,B,1,2,2023,N,9,R,V,1,2,V,N,N,1,1,24,2023-05-08,0
W,21PK,0,56607,B,1,1,2023,N,9,N,V,1,1,A,N,N,2,2,25,2023-05-08,0
H,25DW,0,34560,B,1,1,2023,N,9,N,V,1,0,V,J,J,6,6,25,2023-05-08,0
H,22OJ,0,30029,B,1,2,2023,N,9,R,M,1,2,V,N,N,1,1,35,2023-05-08,0
W,21PJ,0,56051,B,1,2,2023,N,9,E,V,4,0,V,N,N,1,1,35,2023-05-08,0
H,25BE,0,34402,B,1,1,2023,N,9,N,M,1,0,V,N,N,1,1,71,2023-05-08,0
W,21PL,0,50645,B,1,1,2023,N,9,N,M,3,0,V,N,N,1,1,46,2023-05-08,0
H,25JX,13,39111,B,1,,2023,N,9,N,V,1,0,I,J,J,6,6,64,2023-05-08,0
